hgnc_id,hgnc_symbol,con,go_con,gene_con,rel_go,frac_rel_go
798,ATOX1,11,7,4,3,0.429
26954,MINDY2,14,10,4,4,0.4
16933,FEM1C,9,5,4,2,0.4
30184,PTPDC1,9,5,4,2,0.4
6508,LANCL1,10,6,4,2,0.333
19998,TNPO2,10,6,4,2,0.333
7879,CNOT3,10,6,4,2,0.333
28853,JOSD2,7,3,4,1,0.333
26184,TUT1,23,19,4,6,0.316
15465,GPHN,24,20,4,6,0.3
16835,TAOK2,28,24,4,7,0.292
14255,BRPF1,18,14,4,4,0.286
13205,STRADB,11,7,4,2,0.286
14347,BCAS3,19,15,4,4,0.267
4096,GADD45B,12,8,4,2,0.25
12014,TPMT,8,4,4,1,0.25
25904,TMTC4,8,4,4,1,0.25
18783,AKAP17A,11,7,4,1,0.143
10549,ATXN10,15,11,4,1,0.091
18649,GULP1,5,1,4,0,0
1775,CDK5R1,13,9,4,0,0
271,PARP4,18,14,4,0,0
24627,DCBLD2,9,5,4,0,0
9976,TRIM13,23,19,4,0,0
28970,EFR3A,7,3,4,0,0
9003,PITPNM1,16,12,4,0,0
20352,VCPKMT,13,9,4,0,0
17797,MAP3K20,21,17,4,0,0
19089,SLC30A5,15,11,4,0,0
29521,C12orf57,14,10,4,0,0
4119,GALK2,7,3,4,0,0
25601,WDR41,11,7,4,0,0
20080,USP45,12,8,4,0,0
1085,BNIP3L,23,19,4,0,0
20256,SFMBT2,16,12,4,0,0
11281,SRA1,22,18,4,0,0
20231,KLHDC2,8,4,4,0,0
7090,MICA,21,17,4,0,0
10249,ROBO1,23,19,4,0,0
29149,PHLPP2,13,9,4,0,0
19682,HASPIN,19,15,4,0,0
8596,PAM,13,9,4,0,0
19075,TIFA,11,7,4,0,0
17297,RNF34,22,18,4,0,0
14214,CIC,10,7,3,7,1
16017,ZNF343,10,7,3,7,1
8540,P2RY11,9,6,3,6,1
30422,SHROOM3,9,6,3,6,1
17908,ZBTB43,8,5,3,5,1
10675,SDF2,7,4,3,4,1
26673,ZSCAN29,7,4,3,4,1
13003,ZNF211,7,4,3,4,1
3298,EIF4G3,7,4,3,4,1
30863,UQCR10,6,3,3,3,1
28358,D2HGDH,5,2,3,2,1
29141,WDR47,4,1,3,1,1
26911,ZCCHC24,4,1,3,1,1
25591,CCDC25,4,1,3,1,1
16791,TSEN15,4,1,3,1,1
21074,GINM1,4,1,3,1,1
20914,BLOC1S3,11,8,3,7,0.875
4370,GMEB1,11,8,3,7,0.875
16087,SFXN3,10,7,3,6,0.857
25956,VPS50,10,7,3,6,0.857
26573,ZNF597,9,6,3,5,0.833
24009,APOOL,9,6,3,5,0.833
16469,ACAP2,8,5,3,4,0.8
23710,ZSCAN5A,8,5,3,4,0.8
12984,ZSCAN9,8,5,3,4,0.8
12994,ZNF202,12,9,3,7,0.778
25352,ZNF710,7,4,3,3,0.75
6822,MAN1A2,10,7,3,5,0.714
24967,MIS12,13,10,3,7,0.7
5974,IL13RA1,13,10,3,7,0.7
18085,TMEM199,13,10,3,7,0.7
11375,HSPA13,16,13,3,9,0.692
15508,PUS1,12,9,3,6,0.667
20756,ZFYVE16,12,9,3,6,0.667
48,ABCB7,9,6,3,4,0.667
29347,KLHL15,9,6,3,4,0.667
696,ARL5A,9,6,3,4,0.667
29129,ENDOD1,6,3,3,2,0.667
30781,TADA2B,11,8,3,5,0.625
30550,MARCHF6,18,15,3,9,0.6
25452,PIP4P2,8,5,3,3,0.6
17085,EXOC6B,8,5,3,3,0.6
20725,ZNF426,8,5,3,3,0.6
20271,NGDN,10,7,3,4,0.571
16406,EFHC1,14,11,3,6,0.545
8801,PDGFC,20,17,3,9,0.529
15765,MOCS3,15,12,3,6,0.5
20564,MBNL3,9,6,3,3,0.5
30809,TRIB2,9,6,3,3,0.5
14860,UBXN4,7,4,3,2,0.5
25788,ARMH3,7,4,3,2,0.5
30697,ITFG1,5,2,3,1,0.5
30559,RSRC2,5,2,3,1,0.5
28999,FAM168A,5,2,3,1,0.5
358,AIP,10,7,3,3,0.429
16386,OSBPL9,10,7,3,3,0.429
26907,SLC38A9,15,12,3,5,0.417
28145,YIPF4,8,5,3,2,0.4
14933,SIRT5,19,16,3,6,0.375
16943,CDC42EP3,12,9,3,3,0.333
31853,ADAL,6,3,3,1,0.333
18173,ERAP1,21,18,3,5,0.278
24905,CREBZF,14,11,3,3,0.273
29801,MOB1B,14,11,3,3,0.273
25784,DCAF17,7,4,3,1,0.25
14946,PPP1R9A,12,9,3,2,0.222
21577,KDM1B,17,14,3,3,0.214
18348,TICAM1,14,11,3,0,0
1742,LRBA,7,4,3,0,0
30418,SH3D19,10,7,3,0,0
23039,UFL1,28,25,3,0,0
10928,SLC16A7,14,11,3,0,0
30465,EMB,9,6,3,0,0
3333,EMP1,7,4,3,0,0
3164,EDF1,13,10,3,0,0
20750,ZDHHC21,12,9,3,0,0
24855,CCDC91,7,4,3,0,0
30897,VCPIP1,14,11,3,0,0
11023,SLC35A3,7,4,3,0,0
21894,PRKRIP1,11,8,3,0,0
17034,TUSC2,7,4,3,0,0
16348,ARHGAP12,10,7,3,0,0
20059,USP33,25,22,3,0,0
8764,PDCD5,19,16,3,0,0
13611,FBXL12,11,8,3,0,0
24718,TMX3,8,5,3,0,0
18551,DGCR6L,4,1,3,0,0
15882,PCMTD2,6,3,3,0,0
18537,NDFIP2,18,15,3,0,0
19883,ZBTB49,18,15,3,0,0
29800,MOB3C,4,1,3,0,0
17255,KNTC1,11,8,3,0,0
19217,THADA,8,5,3,0,0
10973,SLC23A2,12,9,3,0,0
8609,PARN,22,19,3,0,0
23326,PXK,11,8,3,0,0
24257,TMBIM4,7,4,3,0,0
363,AK4,18,15,3,0,0
7993,NRBP1,8,5,3,0,0
25309,CEP85,12,9,3,0,0
17521,ZNF385A,13,10,3,0,0
14237,GUCD1,4,1,3,0,0
24325,CDKN2AIP,13,10,3,0,0
29237,WWC3,9,6,3,0,0
25596,TTC17,10,7,3,0,0
